styleName,originCountry
Nanga (Bunjinga),Japan
Timurid Period,Iran
Nas-Taliq,Iran
Native Art,United States
Transavantgarde,Italy
Neo-Byzantine,Ukraine
Neo-Impressionism,France
Neo-Impressionist,France
Neo-Orthodoxism,Russia
New Casualism,United States
Neo-Rococo,France
Neo-Suprematism,Russia
Neoclassicism / Portrait,Italy
Rococo,France
Neoclassicism; Realism,France
Netherlandish,Netherlands
New age,United States
New Ink Painting,China
New Medievialism,United States
Nihonga,Japan
Nineteenth-Century European Painting Impressionism and Post-Impressionism,
Nineteenth-Century European PaintingImpressionism and Post-Impressionism,
Naturalism and Symbolism,France
Nineteenth-Century European PaintingRealism,France
Northern Netherlands School,Netherlands
Northern Renaissance,Netherlands
NorthernNetherlands School,Netherlands
Nuremberg,Germany
Odo ware,Japan
Ottoman Period,Turkey
Perceptism,United States
Pictorialism,United States
Pointillism/Neo-Impressionism,France
polyptych,Italy
Portrait,Netherlands
Postcolonial art,United States
Poster Art Realism,United States
Postmodernism,United States
Prague; Mannerism,Czech Republic
Public Art,United States
Jammu,India
Punjab Hills,India
Tubism,France
Queer art,United States
unknown workshop,
Raku ware,Japan
Reinassance,Italy
Renacimiento,Italy
Renaissance / Mannerism / Altarpiece,Italy
Renaissance / Mannerism / Private devotional,Italy
Renaissance / Mythological painting,Italy
Renaissance/ Altarpiece,Italy
Renaissance/ Biblical scene,Italy
Renaissance/ Mythological portrait,Italy
Renaissance/ Mythological scene,Italy
Renaissance/ Portrait,Italy
Renaissance/ Private devotional painting,Italy
Renaissance/ Sacred Allegory,Italy
Renaissance/ Sacred painting,Italy
Renaissance/Manierism,Italy
Roccoco,France
Rococo / Vedutism,Netherlands
Rococo/Court Portrait,France
Roman,Italy
Romanesque,Italy
Safavid Period,Iran
Sakura ware,Japan
San Kamphaeng ware,Thailand
White Satsuma type,Japan
Satsuma ware,Japan
Saxonia,Germany
Sculpture,United States
Seascape,Netherlands
Seto or Kyoto ware,Japan
Seto ware,Japan
Revival Oribe style,Japan
Severe Style,Greece
Shigaraki ware,Japan
Shin-hanga,Japan
Site-specific art,United States
Sky Art,United States
Soma Koma ware,Japan
Sōsaku hanga,Japan
Spanish,Spain
Spanish Baroque,Spain
Spectralism,United States
spiritual painting - Meditation,Italy
Street Photography,United States
Stuckism,United States
Sumi-e (Suiboku-ga),Japan
Superflat,Japan
Svebia,Germany
symbolic expressionism,United States
Synchromism,United States
Synthetism,France
Taizan ware,Japan
Tamba ware,Japan
Transautomatism,United States
Transavanguardia,Italy
Ukiyo-e,Japan
Unknown,
Upper Rhine,Germany
visual poetry,United States
XIII-XIV CenturiesItalian Painting,Italy
XV Century Italian Painting,Italy
XV CenturyItalian Painting,Italy
XV CenturyNetherlandish Painting,Netherlands
XVI CenturyGerman Painting,Germany
XVI CenturyItalian Painting,Italy
XVI CenturySpanish Painting,Spain
XVII CenturyDutch Painting,Netherlands
XVII CenturyFlemish Painting,Belgium
XVII CenturyItalian Painting,Italy
XVIII CenturyItalian Painting,Italy
Yamato-e,Japan
Yatsushiro ware,Japan
Yixing ware,China
